,price,area,rooms,floor,floors,year,looked_by,latitude,longitude,saved,construction_year,renovation_year,price_sqm,type_Blokinis,type_Kita,type_Medinis,type_Monolitinis,type_Mūrinis,type_nan,mounting_Dalinė apdaila,mounting_Kita,mounting_Neįrengtas,mounting_Įrengtas,mounting_nan,energy_class_A,energy_class_A+,energy_class_A++,energy_class_B,energy_class_C,energy_class_D,energy_class_F,energy_class_G,energy_class_nan,aeroterminis,centrinis,centrinis kolektorinis,dujinis,elektra,geoterminis,kietu kuru,kita,saulės energija,skystu kuru,balkonas,drabužinė,none,palepe,pirtis,rūsys,sandėliukas,terasa,vieta_automobiliui,kameros,kodine_spyna,sargas,sarvuotos_durys,signalizacija,atskiras įėjimas,aukcionas,aukštos lubos,butas palėpėje,butas per kelis aukštus,buto dalis,internetas,kabelinė televizija,nauja elektros instaliacija,nauja kanalizacija,renovuotas namas,tualetas ir vonia atskirai,uždaras kiemas,virtuvė sujungta su kambariu,price_sqm_log,building_age,building_age_reno,lat_long,distance_to_center,price_cat_exp
356,133320,43.37,2,4,4,2023,125,54.710831,25.393129,9,2023,2023,3074.014295596034,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.030739574574401,0,0,"(54.710831, 25.393129)",8.21732372146482,0
357,120190,53.3,2,1,4,2023,89,54.710831,25.393129,8,2023,2023,2254.971857410882,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.720892771775036,0,0,"(54.710831, 25.393129)",8.21732372146482,0
358,104030,43.37,2,2,4,2023,267,54.710831,25.393129,23,2023,2023,2398.6626700484208,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.782666640217666,0,0,"(54.710831, 25.393129)",8.21732372146482,0
359,159580,53.3,2,3,4,2023,103,54.710831,25.393129,6,2023,2023,2993.9962476547844,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.004364311690473,0,0,"(54.710831, 25.393129)",8.21732372146482,0
360,196950,67.98,3,4,4,2023,111,54.710831,25.393129,6,2023,2023,2897.1756398940865,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.971491624131082,0,0,"(54.710831, 25.393129)",8.21732372146482,0
361,157560,49.37,2,3,4,2023,66,54.710831,25.393129,1,2023,2023,3191.411788535548,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06821866481407,0,0,"(54.710831, 25.393129)",8.21732372146482,0
362,115000,44.0,2,2,5,1964,575,54.705116,25.287946,12,1964,1964,2613.6363636363635,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8684977734271255,59,59,"(54.705116, 25.287946)",2.0716912186719263,0
363,295000,81.32,3,5,5,1959,243,54.688972,25.260118,17,1959,1959,3627.643876045254,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,8.196338646561811,64,64,"(54.688972, 25.260118)",0.68551506876581,1
364,338000,75.47,3,2,3,2003,576,54.697345,25.249573,51,2003,2003,4478.600768517292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,8.407065948168379,20,20,"(54.697345, 25.249573)",1.6262256506289248,1
365,89991,40.15,1,5,5,1987,238,54.638556,25.204691,8,1987,1987,2241.3698630136987,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.714842503919298,36,36,"(54.638556, 25.204691)",7.068126534195141,0
366,106000,54.72,3,4,5,1963,377,54.666716,25.280155,10,1963,1963,1937.1345029239767,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.568965099779909,60,60,"(54.666716, 25.280155)",2.588353217387434,0
367,277000,64.68,2,1,5,2012,465,54.726367,25.322,13,2012,2012,4282.622139764996,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8.362320750460569,11,11,"(54.726367, 25.322)",5.270232149302053,1
368,127000,57.0,2,8,9,2007,267,54.735341,25.2205,7,2007,2007,2228.0701754385964,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.708891097606178,16,16,"(54.735341, 25.2205)",6.047775719075693,0
369,47000,24.0,1,1,1,"1940 statyba, 2008 renovacija",370,54.795725,25.398059,6,1940,2008,1958.3333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57984905034425,83,15,"(54.795725, 25.398059)",14.375957506323175,0
370,47000,24.0,1,1,1,"1940 statyba, 2008 renovacija",484,54.795725,25.398059,1,1940,2008,1958.3333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57984905034425,83,15,"(54.795725, 25.398059)",14.375957506323175,0
371,249000,93.0,5,2,2,1900,999,54.672013,25.288977,36,1900,1900,2677.4193548387098,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,7.892608682293589,123,123,"(54.672013, 25.288977)",2.2556361678722925,0
372,139500,58.04,2,2,6,2005,549,54.707947,25.211941,6,2005,2005,2403.514817367333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,7.78468745222757,18,18,"(54.707947, 25.211941)",4.308384012185846,0
373,164999,86.03,4,2,16,1995,342,54.720755,25.25186,9,1995,1995,1917.9239800069743,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.558998619625035,28,28,"(54.720755, 25.25186)",3.6970965030572605,0
374,215000,106.0,4,2,3,2022,0,54.659997,25.192264,0,2022,2022,2028.301886792453,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.614954212997732,1,1,"(54.659997, 25.192264)",6.0106330972975375,0
375,128700,42.99,3,5,5,1982,540,54.707592,25.285619,19,1982,1982,2993.7194696441034,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.004271863076028,41,41,"(54.707592, 25.285619)",2.2416604681613626,0
376,120000,49.37,2,5,5,1969,934,54.677112,25.303084,33,1969,1969,2430.625886165688,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.795904069493411,54,54,"(54.677112, 25.303084)",2.483678626249556,0
377,160000,58.0,2,1,6,2008,176,54.66491,25.241079,7,2008,2008,2758.6206896551726,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.922486083669544,15,15,"(54.66491, 25.241079)",3.320914069217665,0
378,215000,63.94,4,7,9,1977,240,54.710786,25.224565,3,1977,1977,3362.527369408821,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.120448163478105,46,46,"(54.710786, 25.224565)",3.806910919932825,1
379,89000,32.8,1,3,5,2023,645,54.707832,25.17281,16,2023,2023,2713.4146341463415,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,7.905963133324179,0,0,"(54.707832, 25.17281)",6.621178757223084,0
380,115300,69.8,3,5,5,1994,502,54.70393,25.182289,6,1994,1994,1651.8624641833812,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.409658696488823,29,29,"(54.70393, 25.182289)",5.911989270764616,0
381,612098,117.3,5,2,3,2022,83,54.682024,25.302865,3,2022,2022,5218.226768968457,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,8.559912923734432,1,1,"(54.682024, 25.302865)",2.2184406292301615,1
382,612098,117.3,5,2,3,2022,384,54.682024,25.302865,1,2022,2022,5218.226768968457,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,8.559912923734432,1,1,"(54.682024, 25.302865)",2.2184406292301615,1
383,77000,32.71,1,1,9,1977,687,54.709415,25.218041,38,1977,1977,2354.0201773158055,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.763879859285528,46,46,"(54.709415, 25.218041)",4.056352572742134,0
384,115000,34.51,1,1,4,2021,399,54.663889,25.190869,14,2021,2021,3332.367429730513,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,8.111438270235475,2,2,"(54.663889, 25.190869)",5.8652107890756575,1
385,103900,67.0,3,8,10,1970,445,54.672208,25.208113,32,1970,1970,1550.7462686567164,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,7.3464915576963525,53,53,"(54.672208, 25.208113)",4.4558660574173485,0
386,543988,82.0,3,3,4,2019,338,54.691292,25.293994,60,2019,2019,6634.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,8.799963219506997,4,4,"(54.691292, 25.293994)",1.5085356145031117,1
387,105000,40.0,2,2,9,2009,787,54.736992,25.217437,29,2009,2009,2625.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.872836175025724,14,14,"(54.736992, 25.217437)",6.308380053134726,0
388,459000,95.0,3,2,2,1940,418,54.681557,25.284286,32,1940,1940,4831.578947368421,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,8.482928597442141,83,83,"(54.681557, 25.284286)",1.2274644180163237,1
389,105000,62.5,3,1,12,1974,295,54.691076,25.215909,24,1974,1974,1680.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.426549072397305,49,49,"(54.691076, 25.215909)",3.530740195946417,0
390,225225,38.5,2,4,6,2019,171,54.692309,25.291911,27,2019,2019,5850.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,8.674196940225903,4,4,"(54.692309, 25.291911)",1.3983528783908314,1
391,225000,62.0,3,2,3,2022,315,54.706716,25.162139,51,2022,2022,3629.032258064516,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,8.196721296141465,1,1,"(54.706716, 25.162139)",7.242143601544735,1
392,278875,48.5,2,1,7,2019,100,54.692309,25.291911,32,2019,2019,5750.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8.656955133791396,4,4,"(54.692309, 25.291911)",1.3983528783908314,1
393,340403,67.5,3,2,5,2019,341,54.702146,25.254651,70,2019,2019,5043.007407407407,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,8.525757890925023,4,4,"(54.702146, 25.254651)",1.7595891128430992,1
394,524600,86.0,3,2,4,2019,229,54.691778,25.293523,64,2019,2019,6100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.716044050161402,4,4,"(54.691778, 25.293523)",1.487421026360777,1
